uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal,pre-post,post-pre,nota_vote_percentage,gen_state,state_id,n_indnota_pre,n_indnota_post,post-pre_ncand_nota,post-pre_ncand
0|10|1,71.93223443,38.51817144,33.82709062,33.41406299,-33.41406299,2.525,0,10,9,5,-4,-5
0|10|10,46.05263158,28.21665856,40.10627667,17.83597302,-17.83597302,1.82,0,10,7,4.5,-2.5,-3.5
0|10|11,45.17133956,25.88316654,32.43411615,19.28817302,-19.28817302,1.09,0,10,8,5.5,-2.5,-3.5
0|10|12,63.42943854,30.1154204,18.57172279,33.31401814,-33.31401814,1.395,0,10,13,8.5,-4.5,-5.5
0|10|13,30,23.53984274,46.59841399,6.46015726,-6.46015726,2.735,0,10,8,5,-3,-4
0|10|14,33.28671329,30.78526578,42.992885,2.50144751,-2.50144751,2.335,0,10,5,4.5,-0.5,-1.5
0|10|15,41.62288383,17.07708843,35.91928569,24.5457954,-24.5457954,0.945,0,10,9,8.5,-0.5,-1.5
0|10|16,63.14496314,37.3994502,5.258242891,25.74551294,-25.74551294,0.755,0,10,2,11,9,8
0|10|17,23.80952381,17.18708908,34.13714848,6.62243473,-6.62243473,3.505,0,10,8,7,-1,-2
0|10|18,80.77260755,34.3866171,53.99628253,46.38599045,-46.38599045,1.64,0,10,7,5.5,-1.5,-2.5
0|10|19,44.47115385,26.87774877,32.39104122,17.59340508,-17.59340508,2.52,0,10,7,5,-2,-3
0|10|2,41.7218543,16.0209609,44.36135971,25.7008934,-25.7008934,3.355,0,10,3,6,3,2
0|10|20,29.08777969,29.68195266,46.89349112,-0.59417297,0.59417297,2.61,0,10,7,4,-3,-4
0|10|21,25.52342971,34.40535536,24.95841048,-8.88192565,8.88192565,2.085,0,10,6,4.5,-1.5,-2.5
0|10|22,20.27290448,29.27213716,31.31013878,-8.99923268,8.99923268,1.105,0,10,10,5,-5,-6
0|10|23,29.83293556,35.04742421,64.95257579,-5.21448865,5.21448865,3.43,0,10,5,2,-3,-4
0|10|24,45.78183772,26.55989817,39.97607996,19.22193955,-19.22193955,2.07,0,10,12,5.5,-6.5,-7.5
0|10|25,29.05620361,35.84849934,25.80967767,-6.79229573,6.79229573,1.725,0,10,9,6,-3,-4
0|10|26,31.46979261,21.71152294,37.08999855,9.75826967,-9.75826967,2.125,0,10,9,6,-3,-4
0|10|27,78.32783278,42.9201088,7.550446058,35.40772398,-35.40772398,0.875,0,10,3,10,7,6
0|10|28,17.35791091,24.07152573,23.270776,-6.71361482,6.71361482,1.315,0,10,11,5.5,-5.5,-6.5
0|10|29,31.81049069,19.33946821,13.90889674,12.47102248,-12.47102248,0.705,0,10,9,10.5,1.5,0.5
0|10|3,62.61682243,19.58316462,38.17129317,43.03365781,-43.03365781,1.94,0,10,3,5.5,2.5,1.5
0|10|30,30.97014925,26.12904147,19.01370762,4.84110778,-4.84110778,0.7,0,10,9,8,-1,-2
0|10|31,52.74390244,28.31033103,19.94749475,24.43357141,-24.43357141,0.545,0,10,3,8,5,4
0|10|32,43.64754098,22.90803604,41.03411696,20.73950494,-20.73950494,1.835,0,10,4,4.5,0.5,-0.5
0|10|33,82.33820459,31.43294504,33.17278973,50.90525955,-50.90525955,1.35,0,10,10,5,-5,-6
