uni_const_code,n_indnota_pre,n_indnota_post
0|10|1,9,5
0|10|10,7,4.5
0|10|11,8,5.5
0|10|12,13,8.5
0|10|13,8,5
0|10|14,5,4.5
0|10|15,9,8.5
0|10|16,2,11
0|10|17,8,7
0|10|18,7,5.5
0|10|19,7,5
0|10|2,3,6
0|10|20,7,4
0|10|21,6,4.5
0|10|22,10,5
0|10|23,5,2
0|10|24,12,5.5
0|10|25,9,6
0|10|26,9,6
0|10|27,3,10
0|10|28,11,5.5
0|10|29,9,10.5
0|10|3,3,5.5
0|10|30,9,8
0|10|31,3,8
0|10|32,4,4.5
0|10|33,10,5
0|10|34,5,6
0|10|35,6,7.5
0|10|36,12,3.5
0|10|37,8,5
0|10|38,8,1.5
0|10|39,12,7
0|10|4,7,5.5
0|10|40,7,3.5
0|10|5,8,10
0|10|6,5,5
0|10|7,5,8
0|10|8,7,6
0|10|9,18,5.5
0|11|1,1,2
0|12|1,1,2
0|12|2,,1.5
0|13|1,,1.5
0|14|1,2,3.5
0|14|2,3,3
0|15|1,2,3
0|16|1,2,4
0|16|2,3,4.5
0|17|1,2,4
0|17|2,1,1
0|18|1,12,8.5
0|18|10,5,2.5
0|18|11,5,4.5
0|18|12,3,2.5
0|18|13,4,3
0|18|14,5,4.5
0|18|2,12,8
0|18|3,1,2
0|18|4,6,6.5
0|18|5,1,4.5
0|18|6,4,4.5
0|18|7,5,8.5
0|18|8,4,3
0|18|9,6,3
0|19|1,4,3.5
0|19|10,1,2
0|19|11,5,3
0|19|12,,2.5
0|19|13,2,2
0|19|14,1,2.5
0|19|15,5,7
0|19|16,1,1.5
0|19|17,2,3
0|19|18,1,4.5
0|19|19,3,1.5
0|19|2,4,3
0|19|20,2,2.5
0|19|21,3,5
0|19|22,4,5.5
0|19|23,7,5.5
0|19|24,7,8
0|19|25,9,9
0|19|26,3,4.5
0|19|27,3,4
0|19|28,2,2
0|19|29,,1.5
0|19|3,3,3
0|19|30,3,4
0|19|31,,1.5
0|19|32,,1.5
0|19|33,3,2.5
0|19|34,4,2
0|19|35,6,4
0|19|36,2,4
0|19|37,2,3
0|19|38,,1
0|19|39,1,1.5
0|19|4,3,5
0|19|40,2,3.5
0|19|41,2,1
0|19|42,,2
0|19|5,5,4
0|19|6,2,2.5
0|19|7,4,4
0|19|8,4,4
0|19|9,1,2.5
0|1|1,2,6
0|1|2,5,6.5
0|1|3,3,7
0|1|4,3,3
0|1|5,4,5.5
0|1|6,11,12.5
0|20|1,,5.5
0|20|10,3,3
0|20|11,3,4.5
0|20|12,8,7
0|20|13,7,6.5
0|20|14,5,6.5
0|20|2,8,8
0|20|3,7,6
0|20|4,3,11.5
0|20|5,5,5
0|20|6,8,5
0|20|7,17,13.5
0|20|8,16,11
0|20|9,10,7
0|21|1,1,2
0|21|10,,2
0|21|11,2,2
0|21|12,,1.5
0|21|13,4,2
0|21|14,1,3
0|21|15,1,3
0|21|16,,2
0|21|17,1,1
0|21|18,4,4
0|21|19,3,3
0|21|2,2,3.5
0|21|20,4,3.5
0|21|21,,1.5
0|21|3,1,3
0|21|4,2,2
0|21|5,3,3
0|21|6,2,5
0|21|7,2,2
0|21|8,2,1.5
0|21|9,,2
0|22|1,6,3.5
0|22|10,3,1
0|22|11,3,3
0|22|2,4,5.5
0|22|3,5,6
0|22|4,9,9
0|22|5,19,15.5
0|22|6,9,6
0|22|7,10,10
0|22|8,22,18
0|22|9,7,13.5
0|23|1,15,10
0|23|10,6,6.5
0|23|11,5,8.5
0|23|12,,5
0|23|13,3,10
0|23|14,5,3
0|23|15,10,7.5
0|23|16,20,7
0|23|17,6,4.5
0|23|18,2,6
0|23|19,13,12
0|23|2,6,5.5
0|23|20,4,4
0|23|21,4,3.5
0|23|22,5,4.5
0|23|23,7,7
0|23|24,2,3
0|23|25,5,2
0|23|26,9,13.5
0|23|27,6,3.5
0|23|28,5,4.5
0|23|29,7,3
0|23|3,13,6.5
0|23|4,12,7.5
0|23|5,3,5
0|23|6,10,6.5
0|23|7,13,6
0|23|8,8,7.5
0|23|9,9,7.5
0|24|1,9,2.5
0|24|10,16,8
0|24|11,3,11.5
0|24|12,14,23
0|24|13,7,6
0|24|14,8,8.5
0|24|15,7,9
0|24|16,9,7
0|24|17,5,5.5
0|24|18,,4.5
0|24|19,,3
0|24|2,9,10.5
0|24|20,4,3
0|24|21,1,3
0|24|22,5,9
0|24|23,5,4.5
0|24|24,6,5
0|24|25,8,12.5
0|24|26,1,3
0|24|3,9,8
0|24|4,6,6.5
0|24|5,6,8.5
0|24|6,11,9.5
0|24|7,7,8.5
0|24|8,7,4.5
0|24|9,13,19
0|25|1,3,1.5
0|26|1,2,4.5
0|27|1,2,5
