uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal
0|10|1,71.93223443,38.51817144,33.82709062
0|10|10,46.05263158,28.21665856,40.10627667
0|10|11,45.17133956,25.88316654,32.43411615
0|10|12,63.42943854,30.1154204,18.57172279
0|10|13,30,23.53984274,46.59841399
0|10|14,33.28671329,30.78526578,42.992885
0|10|15,41.62288383,17.07708843,35.91928569
0|10|16,63.14496314,37.3994502,5.258242891
0|10|17,23.80952381,17.18708908,34.13714848
0|10|18,80.77260755,34.3866171,53.99628253
0|10|19,44.47115385,26.87774877,32.39104122
0|10|2,41.7218543,16.0209609,44.36135971
0|10|20,29.08777969,29.68195266,46.89349112
0|10|21,25.52342971,34.40535536,24.95841048
0|10|22,20.27290448,29.27213716,31.31013878
0|10|23,29.83293556,35.04742421,64.95257579
0|10|24,45.78183772,26.55989817,39.97607996
0|10|25,29.05620361,35.84849934,25.80967767
0|10|26,31.46979261,21.71152294,37.08999855
0|10|27,78.32783278,42.9201088,7.550446058
0|10|28,17.35791091,24.07152573,23.270776
0|10|29,31.81049069,19.33946821,13.90889674
0|10|3,62.61682243,19.58316462,38.17129317
0|10|30,30.97014925,26.12904147,19.01370762
0|10|31,52.74390244,28.31033103,19.94749475
0|10|32,43.64754098,22.90803604,41.03411696
0|10|33,82.33820459,31.43294504,33.17278973
0|10|34,33.43653251,20.23296203,41.0318601
0|10|35,25.47368421,20.79113924,38.03067186
0|10|36,32.23938224,23.59867084,51.49822839
0|10|37,23.87791741,25.57200348,32.93999879
0|10|38,23.1092437,50.83682008,74.58158996
0|10|39,30.64882033,23.03707776,32.3230102
0|10|4,29.91452991,29.10888252,20.34765998
0|10|40,25,23.17904597,49.12992961
0|10|5,32.59259259,25.06014108,9.117668001
0|10|6,64.98194946,49.69775175,37.34024929
0|10|7,39.93506494,25.09988505,9.256980366
0|10|8,22.27074236,22.60312152,30.42663071
0|10|9,23.21539417,24.392839,45.5655624
0|11|1,100,41.00719424,73.38129496
0|12|1,100,53.45945131,46.54054869
0|14|1,90.45801527,75.24679417,23.09671062
0|14|2,60,59.39393939,39.29292929
0|15|1,96.25860521,94.77592615,2.076322249
0|16|1,68.98734177,21.81146222,52.15393087
0|16|2,47.63779528,21.235695,46.33052591
0|17|1,67.90697674,60.11012025,13.55017398
0|18|1,19.23076923,14.5961165,24.64854369
0|18|10,39.91769547,35.65273194,52.07874954
0|18|11,42.0824295,32.23809078,32.32958559
0|18|12,62.32686981,24.94254221,66.76477486
0|18|13,56.76229508,18.22323462,73.91799544
0|18|14,77.5334608,18.87602414,47.26160689
0|18|2,20.97759674,23.09294872,27.01236264
0|18|3,100,86.51917865,13.48082135
0|18|4,34.39716312,35.78928387,16.54836356
0|18|5,100,79.43221758,2.479898721
0|18|6,43.15789474,32.14838273,43.11149253
0|18|7,37.87878788,30.56397929,15.60281065
0|18|8,61.38933764,33.38553145,46.3722306
0|18|9,34.01459854,63.75555687,27.4096844
0|19|1,67.4796748,33.25500172,42.11904967
0|19|10,100,44.87179487,73.07692308
0|19|11,32.29461756,27.78742542,60.79125479
0|19|13,55.78947368,37.91158186,62.08841814
0|19|14,100,48.66080556,46.48844817
0|19|15,30.82706767,22.93219737,42.4446811
0|19|16,100,16.29213483,91.85393258
